#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
arquitetura-001	Basic	Arquitetura e Manutenção	Qual é a função principal da placa-mãe?	Interconectar os componentes do computador.	arquitetura manutencao
arquitetura-002	Basic	Arquitetura e Manutenção	Qual é a função principal da CPU?	Executar instruções.	arquitetura
arquitetura-003	Basic	Arquitetura e Manutenção	O que significa RAM?	Random Access Memory.	memoria
arquitetura-004	Basic	Arquitetura e Manutenção	A RAM é volátil ou não volátil?	Volátil.	memoria
arquitetura-005	Basic	Arquitetura e Manutenção	Qual é a função da fonte de alimentação?	Fornecer energia aos componentes.	energia
arquitetura-006	Basic	Arquitetura e Manutenção	O que é um barramento?	Canal de comunicação entre componentes.	arquitetura
arquitetura-007	Basic	Arquitetura e Manutenção	Qual a diferença básica entre SSD e HD?	SSD usa memória flash; HD usa discos magnéticos.	armazenamento
arquitetura-008	Basic	Arquitetura e Manutenção	O que é BIOS/UEFI?	Firmware que inicializa e configura o hardware.	firmware
arquitetura-009	Basic	Arquitetura e Manutenção	O que significa POST?	Power-On Self-Test.	firmware
arquitetura-010	Basic	Arquitetura e Manutenção	Qual é a função do POST?	Verificar o hardware durante a inicialização.	firmware
arquitetura-011	Basic	Arquitetura e Manutenção	Para que serve um dissipador de calor?	Transferir calor para facilitar sua dissipação.	refrigeracao
arquitetura-012	Basic	Arquitetura e Manutenção	Para que serve a pasta térmica?	Melhorar a transferência de calor.	refrigeracao
arquitetura-013	Basic	Arquitetura e Manutenção	O que é manutenção preventiva?	Ações para reduzir a ocorrência de falhas.	manutencao
arquitetura-014	Basic	Arquitetura e Manutenção	O que é manutenção corretiva?	Reparar uma falha que já ocorreu.	manutencao
arquitetura-015	Basic	Arquitetura e Manutenção	O que é ESD?	Descarga eletrostática.	seguranca manutencao
arquitetura-016	Basic	Arquitetura e Manutenção	Por que a ESD é perigosa para componentes?	Pode danificar circuitos eletrônicos sensíveis.	seguranca
arquitetura-017	Basic	Arquitetura e Manutenção	Para que serve um multímetro?	Medir grandezas elétricas.	diagnostico
arquitetura-018	Basic	Arquitetura e Manutenção	Cite um sinal de superaquecimento.	Travamentos ou desligamentos inesperados.	diagnostico refrigeracao
arquitetura-019	Basic	Arquitetura e Manutenção	Por que desconectar o PC antes da manutenção interna?	Para reduzir riscos elétricos e de curto-circuito.	seguranca
arquitetura-020	Basic	Arquitetura e Manutenção	Qual é o primeiro passo ao diagnosticar um PC que não liga?	Verificar energia e cabos.	diagnostico
arquitetura-021	Basic	Arquitetura e Manutenção	Qual é a função de um cooler com fan sobre o dissipador?	Forçar a passagem de ar pra dissipar calor mais rápido.	refrigeracao
arquitetura-022	Basic	Arquitetura e Manutenção	O que significa TDP de um processador?	A potência térmica máxima que ele dissipa em uso.	arquitetura refrigeracao
arquitetura-023	Basic	Arquitetura e Manutenção	Qual a principal diferença física entre HDD e SSD?	HDD tem disco girando (partes móveis); SSD não tem.	armazenamento
arquitetura-024	Basic	Arquitetura e Manutenção	O que significa a sigla BIOS?	Basic Input/Output System.	firmware
arquitetura-025	Basic	Arquitetura e Manutenção	O que substituiu a BIOS tradicional na maioria dos PCs modernos?	A UEFI.	firmware
arquitetura-026	Basic	Arquitetura e Manutenção	Qual é a função do chipset na placa-mãe?	Controlar a comunicação entre CPU e periféricos.	arquitetura
arquitetura-027	Basic	Arquitetura e Manutenção	O que é overclock de memória RAM?	Rodar a RAM numa frequência acima do padrão de fábrica.	desempenho memoria
arquitetura-028	Basic	Arquitetura e Manutenção	Quantos pinos tem um conector USB tipo C?	24 pinos.	conectores
arquitetura-029	Basic	Arquitetura e Manutenção	O que define o "form factor" ATX de uma placa-mãe?	O padrão de tamanho e layout dos furos/conectores.	arquitetura
arquitetura-030	Basic	Arquitetura e Manutenção	Por que um SSD NVMe é mais rápido que um SSD SATA?	Usa o barramento PCIe em vez do SATA, bem mais rápido.	armazenamento desempenho
arquitetura-extra-001	Basic	Arquitetura e Manutenção	O que é a memória cache L1?	A mais rápida e pequena, junto ao núcleo.	memoria cache
arquitetura-extra-002	Basic	Arquitetura e Manutenção	Como é a cache L2 comparada à L1?	Maior, porém mais lenta que a L1.	memoria cache
arquitetura-extra-003	Basic	Arquitetura e Manutenção	Qual nível de cache é compartilhado entre os núcleos?	A cache L3.	memoria cache
arquitetura-extra-004	Basic	Arquitetura e Manutenção	Na arquitetura von Neumann, o que dados e instruções compartilham?	O mesmo espaço de memória.	arquitetura
arquitetura-extra-005	Basic	Arquitetura e Manutenção	Qual componente da CPU faz operações aritméticas e lógicas?	ULA (Unidade Lógica e Aritmética).	arquitetura
arquitetura-extra-006	Basic	Arquitetura e Manutenção	Qual componente da CPU coordena a execução das instruções?	Unidade de Controle (UC).	arquitetura
arquitetura-extra-007	Basic	Arquitetura e Manutenção	O que é RAID 0?	Distribui dados em discos (striping), sem redundância.	armazenamento raid
arquitetura-extra-008	Basic	Arquitetura e Manutenção	O que é RAID 1?	Espelhamento: duplica os dados em 2 discos.	armazenamento raid
arquitetura-extra-009	Basic	Arquitetura e Manutenção	Quantos discos o RAID 5 exige no mínimo?	3 discos, com paridade distribuída.	armazenamento raid
arquitetura-extra-010	Basic	Arquitetura e Manutenção	O que o RAID 10 combina?	Striping (RAID 0) com espelhamento (RAID 1).	armazenamento raid
arquitetura-extra-011	Basic	Arquitetura e Manutenção	O que o conector ATX de 24 pinos alimenta?	A placa-mãe, a partir da fonte.	energia conectores
arquitetura-extra-012	Basic	Arquitetura e Manutenção	Quantos pinos tem um conector de dados SATA?	7 pinos.	armazenamento conectores
arquitetura-extra-013	Basic	Arquitetura e Manutenção	O que é o barramento PCI Express (PCIe)?	Barramento serial de expansão de alta velocidade.	arquitetura conectores
arquitetura-extra-014	Basic	Arquitetura e Manutenção	Para que o PCIe é tipicamente usado?	GPUs e SSDs de alta performance.	arquitetura conectores
arquitetura-extra-015	Basic	Arquitetura e Manutenção	O que é overclock?	Aumentar o clock além do especificado de fábrica.	desempenho
arquitetura-extra-016	Basic	Arquitetura e Manutenção	Qual o principal risco do overclock sem boa refrigeração?	Superaquecimento e dano ao componente.	desempenho refrigeracao
arquitetura-extra-017	Basic	Arquitetura e Manutenção	O que significa a sigla DDR (memória RAM)?	Double Data Rate.	memoria
arquitetura-extra-018	Basic	Arquitetura e Manutenção	O que cada módulo de DDR5 tem que a DDR4 não tem?	PMIC próprio (regulador de energia).	memoria
arquitetura-extra-019	Basic	Arquitetura e Manutenção	O que é o slot M.2?	Form factor compacto para SSDs e placas.	armazenamento conectores
arquitetura-extra-020	Basic	Arquitetura e Manutenção	O que é NVMe?	Protocolo de armazenamento rápido via PCIe.	armazenamento
arquitetura-extra-021	Basic	Arquitetura e Manutenção	Quantos pinos tem um conector HDMI padrão?	19 pinos.	conectores
arquitetura-extra-022	Basic	Arquitetura e Manutenção	Quantos pinos tem um conector DisplayPort?	20 pinos.	conectores
arquitetura-extra-023	Basic	Arquitetura e Manutenção	Para que servem os beep codes na inicialização?	Indicar erros de hardware durante o POST.	diagnostico firmware
arquitetura-extra-024	Basic	Arquitetura e Manutenção	Para que serve o ar comprimido (gas duster) na manutenção?	Remover poeira sem usar água ou contato.	manutencao
arquitetura-painel-001	Basic	Arquitetura e Manutenção	Explique a diferença entre memória volátil e não volátil, com exemplos.	Memória volátil perde os dados quando a energia é cortada, como a RAM; memória não volátil mantém os dados mesmo desligada, como SSDs, HDs e a memória flash de pendrives.	memoria
arquitetura-painel-002	Basic	Arquitetura e Manutenção	Por que a hierarquia de memória (cache, RAM, armazenamento) existe em camadas?	Porque memórias mais rápidas são caras e pequenas, e memórias mais baratas e grandes são mais lentas; a hierarquia equilibra custo e desempenho aproximando dados usados com frequência do processador.	memoria arquitetura desempenho
arquitetura-painel-003	Basic	Arquitetura e Manutenção	Explique como funciona o RAID 5 e por que ele é um meio-termo popular.	O RAID 5 distribui dados e paridade entre pelo menos 3 discos; se um disco falhar, os dados podem ser reconstruídos a partir da paridade nos discos restantes, equilibrando desempenho, capacidade utilizável e tolerância a falhas.	armazenamento raid
arquitetura-painel-004	Basic	Arquitetura e Manutenção	Qual a diferença prática entre um SSD SATA e um SSD NVMe, além da interface?	O SSD NVMe se conecta direto ao barramento PCIe da CPU e usa um protocolo criado para memória flash, alcançando várias vezes a velocidade de leitura e escrita do SATA, que herda limitações de uma interface pensada para HDs mecânicos.	armazenamento desempenho
arquitetura-painel-005	Basic	Arquitetura e Manutenção	O que acontece durante o processo de POST antes do sistema operacional carregar?	A placa-mãe executa uma rotina de autoteste que verifica CPU, memória, vídeo e outros componentes essenciais; se tudo estiver correto, o controle passa para o bootloader, e se algo falhar, o sistema emite beep codes ou exibe um código de erro.	firmware diagnostico
arquitetura-painel-006	Basic	Arquitetura e Manutenção	Por que memória RAM em modo dual-channel é mais rápida que em modo single-channel?	No dual-channel, a placa-mãe acessa dois módulos de RAM simultaneamente por canais independentes, dobrando a largura de banda teórica de transferência de dados em vez de usar apenas um caminho de cada vez.	memoria desempenho
arquitetura-painel-007	Basic	Arquitetura e Manutenção	Explique por que a pasta térmica é necessária entre o processador e o dissipador.	A superfície de contato entre o processador e o dissipador nunca é perfeitamente lisa em nível microscópico; a pasta térmica preenche essas imperfeições e bolsões de ar, que são péssimos condutores de calor, melhorando a transferência de calor do chip pro dissipador.	refrigeracao manutencao
arquitetura-painel-008	Basic	Arquitetura e Manutenção	Qual a diferença entre refrigeração a ar e refrigeração líquida (water cooler)?	A refrigeração a ar usa um dissipador metálico com fans para dissipar calor direto no ar do gabinete, enquanto o water cooler bombeia líquido por um bloco sobre o processador até um radiador com fans, geralmente dissipando mais calor com menos ruído em cargas altas.	refrigeracao
arquitetura-painel-009	Basic	Arquitetura e Manutenção	O que é a certificação 80 Plus de uma fonte de alimentação?	É um selo que garante que a fonte mantém uma eficiência energética mínima (a partir de 80%) em diferentes níveis de carga, com categorias como Bronze, Gold e Platinum indicando eficiências cada vez maiores e menos energia desperdiçada em calor.	energia
arquitetura-painel-010	Basic	Arquitetura e Manutenção	Por que overclock de CPU sem ajustar a refrigeração é arriscado?	Aumentar o clock geralmente exige mais tensão, o que eleva a dissipação de calor do chip; sem refrigeração capaz de escoar esse calor extra, a temperatura pode ultrapassar limites seguros, causando throttling, instabilidade ou dano permanente ao componente.	desempenho refrigeracao
arquitetura-painel-011	Basic	Arquitetura e Manutenção	Explique a diferença entre manutenção preventiva e corretiva com um exemplo de cada.	Manutenção preventiva é feita antes de um problema aparecer, como limpar poeira e trocar pasta térmica periodicamente; manutenção corretiva acontece depois de uma falha já ter ocorrido, como trocar uma fonte queimada ou uma memória RAM com defeito.	manutencao
arquitetura-painel-012	Basic	Arquitetura e Manutenção	Por que é importante se aterrar antes de manusear componentes internos do PC?	O corpo humano pode acumular carga estática que, ao tocar um componente sensível como memória RAM ou placa de vídeo, se descarrega repentinamente e pode danificar circuitos internos; uma pulseira antiestática ou tocar uma superfície metálica aterrada evita esse risco.	seguranca manutencao
arquitetura-painel-013	Basic	Arquitetura e Manutenção	Quais são os principais form factors de placa-mãe e o que eles determinam?	ATX, microATX e Mini-ITX são os mais comuns; eles definem o tamanho físico da placa, a quantidade de slots de expansão e conectores disponíveis, e precisam ser compatíveis com o gabinete escolhido para a montagem.	arquitetura
arquitetura-painel-014	Basic	Arquitetura e Manutenção	O que costuma causar um PC que liga (fans giram, luzes acendem) mas não exibe imagem?	As causas mais comuns são memória RAM mal encaixada ou com defeito, problema na placa de vídeo ou no slot PCIe, cabo de vídeo com mau contato, ou até a própria placa-mãe; o diagnóstico costuma começar reencaixando a RAM e testando com o mínimo de periféricos possível.	diagnostico
